[0921/095759:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/130112:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/130112:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/130112:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/130216:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/130216:INFO:CONSOLE(491)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
[0921/130216:INFO:CONSOLE(492)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (492)
[0921/130555:INFO:CONSOLE(14)] "Uncaught TypeError: Cannot read property 'getElementsByTagName' of undefined", source: http://192.168.1.107:8020/yikuaiwan20150915/js/TouchSlide.1.1.js (14)
[0921/130555:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/130555:INFO:CONSOLE(490)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (490)
[0921/130555:INFO:CONSOLE(491)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (491)
